id,titolo,descrizione,programma,tipo,stato,data_apertura,data_chiusura,budget_totale,contributo_max,beneficiari,settore,keywords,ente,link
,Pan-European COVID-19 cohorts,Second call for an Expression of Interest for innovative and rapid health-related approaches to respond to COVID-19 and to deliver quick results for society for a higher level of preparedness of health systems,31045243,1,31094503,2020-05-19T00:00:00.000+0000,2020-06-11T00:00:00.000+0000,,,,,"Medical biotechnology related ethics, Immunology, Health sciences, Other clinical medicine subjects, Gender",H2020-SC1-PHE-CORONAVIRUS-2020-2,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Strengthening Europe's position in the global context: science diplomacy and intercultural relations,ENGAGING TOGETHER GLOBALLY,31045243,1,31094503,2016-10-04T00:00:00.000+0000,2017-02-02T00:00:00.000+0000,,,,,"Political systems and institutions, governance, International cooperation, Global and transnational governance, international, Common Foreign Security Policy (CFSP), Cultural studies, cultural diversity",H2020-SC6-ENG-GLOBALLY-2016-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Freight Propulsion concepts,SHIFT2RAIL JOINT UNDERTAKING CALL FOR PROPOSALS 2015,31045243,1,31094503,2015-12-17T00:00:00.000+0000,2016-03-17T00:00:00.000+0000,,,,,"Rail Transport, Intermodal freight transport, Propulsion systems engineering, Mechanical and manufacturing engineering (shaping,, last mile freight distribution",H2020-S2RJU-2015-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,"The relation of young generations with the sea and water: values, expectations, and engagement","Mission Enabling activities: Digital knowledge system, public mobilisation and engagement, dynamic investment ecosystem",43108390,1,31094503,2021-12-22T00:00:00.000+0000,2022-04-12T00:00:00.000+0000,,,,,"Democratic engagement and civic participation, Pre-school education, Social sciences, interdisciplinary, Marine Ecology, Social Networks",HORIZON-MISS-2021-OCEAN-05,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Under water noise mitigation and environmental impact,2018-2020 Mobility for Growth,31045243,1,31094503,2019-12-03T00:00:00.000+0000,2020-04-28T00:00:00.000+0000,,,,,"Waterborne transport, Maritime transport, Blue Growth, Underwater communications, Environmental sciences",H2020-MG-2018-2019-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,"Innovative electric network architectures and systems, optimising global energy, electrical power, data and communication for aviation",2018-2020 Mobility for Growth,31045243,1,31094503,2019-12-03T00:00:00.000+0000,2020-04-28T00:00:00.000+0000,,,,,"Networks (communication networks, sensor networks,, Transport engineering, intelligent transport syste, Aerospace engineering, Network technologies / Internetworking, Electrical engineering, Electronic engineering, In",H2020-MG-2018-2019-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Development of cost effective manufacturing technologies for key components or fuel cell systems for industrial applications,FCH2 JU call for proposals 2016,31045243,1,31094503,2016-01-19T00:00:00.000+0000,2016-05-03T00:00:00.000+0000,,,,,"Energy efficiency - general, Energy collection, conversion and storage, renewab, fuel cells systems, industrial applications, manufacturing",H2020-JTI-FCH-2016-1,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Framework Partnership Agreement for developing the first large-scale quantum computers (FPA),Digital and emerging technologies for competitiveness and fit for the green deal,43108390,1,31094503,2021-11-02T00:00:00.000+0000,2022-01-27T00:00:00.000+0000,,,,,"Digital Agenda, Cryptology, security, privacy, quantum crypto, Quantum Technologies (computing/communication), Artificial Intelligence, Theoretical computer science, formal methods",HORIZON-CL4-2021-DIGITAL-EMERGING-02,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth,"Horizon 2020 dedicated SME Instrument Phase 1 and 2, 2014-2015",31045243,1,31094503,2014-12-18T00:00:00.000+0000,2015-03-18T00:00:00.000+0000,,,,,"Marine biodiversity, Marine ecosystems and processes, Prokaryotic biology, Biodiscovery of marine organisms, Environmental genomics",H2020-SMEInst-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Development of new approaches to the macroeconomic modelling of research and innovation,Enhancing the European R&I system,43108390,1,31094503,2022-12-06T00:00:00.000+0000,2023-03-09T00:00:00.000+0000,,,,,"Engineering and technology, Economics, Econometrics, Digital Agenda, Economics of innovation",HORIZON-WIDERA-2023-ERA-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Synergy with national and regional initiatives in Europe (CSA),Digital and emerging technologies for competitiveness and fit for the Green Deal,43108390,1,31094503,2023-11-15T00:00:00.000+0000,2024-03-19T00:00:00.000+0000,,,,,"Nanotechnology, nano-materials, nano engineering, Materials engineering (biomaterials, metals, ceram, Semiconductors, Optoelectronics, Networks (communication networks, sensor networks,",HORIZON-CL4-2024-DIGITAL-EMERGING-01-CNECT,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,PNR on hydrogen-based fuels solutions for passenger ships,FCH2 JU call for proposals 2020,31045243,1,31094503,2020-01-14T00:00:00.000+0000,2020-04-29T00:00:00.000+0000,,,,,"Decarbonisation in maritime, International cooperation, Energy systems (production, distribution, applicat, Logistics, supply chain management, operational re, Waterborne transport",H2020-JTI-FCH-2020-1,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,"Chemicals: intelligence, detection, forensics",Security,31045243,1,31094503,2020-03-12T00:00:00.000+0000,2020-08-27T00:00:00.000+0000,,,,,"Ensure and Mantaining Law and Order, Protection of public spaces, Secure public area, Equipments and sub systems, Secure Societies",H2020-SU-SEC-2018-2019-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Support for clustering and networking in the micro- & nanofluidics community,"Call for Nanotechnologies, Advanced Materials and Production",31045243,1,31094503,2014-10-22T00:00:00.000+0000,2015-03-26T00:00:00.000+0000,,,,,"Nanotechnology, nano-materials, nano engineering, Microfluidics, KET",H2020-NMP-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Provide insight on emerging technologies for bio-based value chains,H2020-BBI-JTI-2020,31045243,1,31094503,2020-04-15T00:00:00.000+0000,2020-09-03T00:00:00.000+0000,,,,,"Theoretical computer science, formal methods, Cross-cutting Key-Enabling Technologies (KETs), Technology evaluation, Industrial biotechnology, Business support services",H2020-BBI-JTI-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Facilitating transnational cooperation between NCPs in Societal Challenge 5,"Growing a Low Carbon, Resource Efficient Economy with a Sustainable Supply of Raw Materials",31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-04-08T00:00:00.000+0000,,,,,"Experience economy, New business opportunities, International transfer, International cooperation, Innovation strategies",H2020-SC5-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Industrial microbiomes – learning from nature,Food and Natural Resources,31045243,1,31094503,2019-10-15T00:00:00.000+0000,2020-01-23T00:00:00.000+0000,,,,,"Biochemistry and molecular biology, Resources efficiency, Microbiology, Life sciences, Industrial biotechnology",H2020-FNR-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Produce high-performance bio-based alternatives to harmful products or processes to protect and enhance human health and the environment,H2020-BBI-JTI-2019,31045243,1,31094503,2019-04-04T00:00:00.000+0000,2019-09-04T00:00:00.000+0000,,,,,"Bioproducts (products that are manufactured using, Marine Environment, Chemical engineering, technical chemistry, Cross-cutting Key-Enabling Technologies (KETs), Global health",H2020-BBI-JTI-2019,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
